compound,start_value,end_value,delta,normalize_delta
C06614,100,98,-2,0.02
C06616,100,50,-50,0.5
C06620,100,0,-100,1.0
C06622,100,100,0,0.0
C06624,100,70,-30,0.3
C06625,100,100,0,0.0
C06627,100,54,-46,0.46
C06628,100,100,0,0.0
C06629,100,100,0,0.0
C06630,100,129,29,0.29
C06633,100,113,13,0.13
C06634,100,100,0,0.0
C06635,100,58,-42,0.42
C06636,100,107,7,0.07
C06637,100,144,44,0.44
C06638,100,117,17,0.17
C06639,100,92,-8,0.08
C06640,100,76,-24,0.24
C06641,100,0,-100,1.0
C06644,100,104,4,0.04
C06645,100,87,-13,0.13
C06649,100,75,-25,0.25
C06650,100,124,24,0.24
C06651,100,62,-38,0.38
C06653,100,100,0,0.0
C06654,100,146,46,0.46
C06655,100,115,15,0.15
C06656,100,103,3,0.03
C06657,100,89,-11,0.11
C06658,100,111,11,0.11
C06659,100,100,0,0.0
C06660,100,50,-50,0.5
C06661,100,92,-8,0.08
C06662,100,158,58,0.58
C06663,100,100,0,0.0
C06664,100,139,39,0.39
C06665,100,100,0,0.0
C06667,100,100,0,0.0
C06668,100,100,0,0.0
C06669,100,62,-38,0.38
C06670,100,98,-2,0.02
C06671,100,132,32,0.32
C06672,100,110,10,0.1
C06673,100,149,49,0.49
C06674,100,100,0,0.0
C06676,100,134,34,0.34
C06677,100,100,0,0.0
C06678,100,92,-8,0.08
C06679,100,107,7,0.07
C06680,100,43,-57,0.57
C06681,100,100,0,0.0
C06682,100,100,0,0.0
C06683,100,100,0,0.0
C06684,100,100,0,0.0
C06685,100,100,0,0.0
C06686,100,100,0,0.0
C06687,100,100,0,0.0
C06688,100,99,-1,0.01
C06689,100,153,53,0.53
C06690,100,100,0,0.0
C06691,100,150,50,0.5
C06693,100,100,0,0.0
C06694,100,100,0,0.0
C06695,100,100,0,0.0
C06696,100,100,0,0.0
C06697,100,196,96,0.96
C06701,100,96,-4,0.04
C06702,100,100,0,0.0
C06704,100,100,0,0.0
C06707,100,100,0,0.0
C06710,100,100,0,0.0
C06711,100,74,-26,0.26
C06712,100,126,26,0.26
C06714,100,130,30,0.3
C06715,100,61,-39,0.39
C06717,100,8,-92,0.92
C06718,100,121,21,0.21
C06719,100,62,-38,0.38
C06720,100,94,-6,0.06
C06721,100,91,-9,0.09
C06722,100,109,9,0.09
C06723,100,99,-1,0.01
C06725,100,111,11,0.11
C06726,100,89,-11,0.11
C06727,100,90,-10,0.1
C06728,100,109,9,0.09
C06729,100,65,-35,0.35
C06730,100,134,34,0.34
C06731,100,87,-13,0.13
C06732,100,100,0,0.0
C06733,100,99,-1,0.01
C06734,100,101,1,0.01
C06735,100,149,49,0.49
C06736,100,101,1,0.01
C06737,100,100,0,0.0
C06738,100,98,-2,0.02
C06739,100,102,2,0.02
C06740,100,101,1,0.01
C06742,100,75,-25,0.25
C06743,100,100,0,0.0
C06744,100,76,-24,0.24
C06746,100,86,-14,0.14
C06747,100,100,0,0.0
C06748,100,114,14,0.14
C06749,100,95,-5,0.05
C06751,100,100,0,0.0
C06752,100,88,-12,0.12
C06753,100,90,-10,0.1
C06754,100,262,162,1.62
C06755,100,141,41,0.41
C06756,100,98,-2,0.02
C06757,100,93,-7,0.07
C06758,100,106,6,0.06
C06760,100,67,-33,0.33
C06761,100,95,-5,0.05
C06762,100,140,40,0.4
C06763,100,100,0,0.0
C06764,100,100,0,0.0
C06765,100,100,0,0.0
C06767,100,100,0,0.0
C06769,100,100,0,0.0
C06770,100,100,0,0.0
C06771,100,48,-52,0.52
C06772,100,202,102,1.02
C06773,100,100,0,0.0
C06774,100,100,0,0.0
C06775,100,100,0,0.0
C06776,100,100,0,0.0
C06777,100,100,0,0.0
C06778,100,100,0,0.0
C06779,100,100,0,0.0
C06780,100,100,0,0.0
C06781,100,100,0,0.0
C06782,100,100,0,0.0
C06783,100,100,0,0.0
C06784,100,100,0,0.0
C06785,100,100,0,0.0
C06786,100,100,0,0.0
C06787,100,100,0,0.0
C06788,100,100,0,0.0
C06789,100,56,-44,0.44
C06790,100,0,-100,1.0
C06791,100,89,-11,0.11
C06792,100,101,1,0.01
C06793,100,121,21,0.21
C06799,100,100,0,0.0
C06800,100,99,-1,0.01
C06801,100,100,0,0.0
C06802,100,156,56,0.56
C06803,100,100,0,0.0
C06804,100,100,0,0.0
C06805,100,100,0,0.0
C06806,100,100,0,0.0
C06807,100,100,0,0.0
C06808,100,100,0,0.0
C06809,100,100,0,0.0
C06810,100,100,0,0.0
C06812,100,100,0,0.0
C14002,100,100,0,0.0
C06813,100,62,-38,0.38
C06814,100,100,0,0.0
C06817,100,100,0,0.0
C06818,100,100,0,0.0
C06819,100,100,0,0.0
C06820,100,100,0,0.0
C06821,100,100,0,0.0
C06823,100,100,0,0.0
C06824,100,100,0,0.0
C06825,100,100,0,0.0
C06827,100,100,0,0.0
C06830,100,100,0,0.0
C06831,100,100,0,0.0
C06832,100,100,0,0.0
C06834,100,100,0,0.0
C06837,100,53,-47,0.47
C06838,100,100,0,0.0
C06839,100,100,0,0.0
C06840,100,100,0,0.0
C06842,100,100,0,0.0
C06843,100,100,0,0.0
C06846,100,100,0,0.0
C06847,100,100,0,0.0
C06849,100,100,0,0.0
C06850,100,100,0,0.0
C06852,100,100,0,0.0
C06853,100,100,0,0.0
C06854,100,100,0,0.0
C15773,100,100,0,0.0
C06855,100,100,0,0.0
C06856,100,100,0,0.0
C06857,100,100,0,0.0
C06860,100,100,0,0.0
C06861,100,100,0,0.0
C06862,100,100,0,0.0
C06863,100,100,0,0.0
C06865,100,100,0,0.0
C06866,100,134,34,0.34
C06868,100,53,-47,0.47
C06869,100,100,0,0.0
C06870,100,100,0,0.0
C06871,100,100,0,0.0
C06872,100,100,0,0.0
C06874,100,100,0,0.0
C06875,100,100,0,0.0
C06876,100,101,1,0.01
C06877,100,100,0,0.0
C06878,100,100,0,0.0
C06879,100,100,0,0.0
C06880,100,100,0,0.0
C06881,100,100,0,0.0
C06882,100,100,0,0.0
C06883,100,100,0,0.0
C06884,100,100,0,0.0
C06885,100,100,0,0.0
C06886,100,100,0,0.0
C06887,100,100,0,0.0
C06888,100,100,0,0.0
C06889,100,100,0,0.0
C06890,100,100,0,0.0
C06891,100,146,46,0.46
C06892,100,153,53,0.53
C06894,100,100,0,0.0
C06895,100,100,0,0.0
C06896,100,100,0,0.0
C06899,100,65,-35,0.35
C06902,100,100,0,0.0
C06905,100,100,0,0.0
C06906,100,100,0,0.0
C06909,100,100,0,0.0
C06910,100,100,0,0.0
C06911,100,100,0,0.0
C06912,100,100,0,0.0
C06913,100,100,0,0.0
C06914,100,100,0,0.0
C13684,100,100,0,0.0
C06915,100,100,0,0.0
C06916,100,100,0,0.0
C06917,100,100,0,0.0
C06918,100,100,0,0.0
C06921,100,100,0,0.0
C06922,100,100,0,0.0
C06923,100,100,0,0.0
C06924,100,100,0,0.0
C06925,100,100,0,0.0
C06928,100,100,0,0.0
C06930,100,100,0,0.0
C06931,100,100,0,0.0
C06932,100,100,0,0.0
C06935,100,100,0,0.0
C06936,100,100,0,0.0
C06939,100,100,0,0.0
C06940,100,100,0,0.0
C06941,100,100,0,0.0
C06943,100,100,0,0.0
C06944,100,100,0,0.0
C06946,100,100,0,0.0
C06947,100,100,0,0.0
C06948,100,100,0,0.0
C06949,100,100,0,0.0
C06950,100,100,0,0.0
C06951,100,100,0,0.0
C06953,100,100,0,0.0
C06954,100,100,0,0.0
C06955,100,100,0,0.0
C06956,100,100,0,0.0
C06957,100,100,0,0.0
C06958,100,100,0,0.0
C06961,100,100,0,0.0
C06963,100,100,0,0.0
C06965,100,100,0,0.0
C06967,100,100,0,0.0
C06969,100,100,0,0.0
C06970,100,100,0,0.0
C06971,100,100,0,0.0
C06972,100,155,55,0.55
C06973,100,100,0,0.0
C06975,100,100,0,0.0
C06976,100,100,0,0.0
C06977,100,100,0,0.0
C06978,100,100,0,0.0
C06979,100,100,0,0.0
C06980,100,100,0,0.0
C06984,100,100,0,0.0
C06986,100,163,63,0.63
C06988,100,36,-64,0.64
C06990,100,200,100,1.0
C06996,100,100,0,0.0
C06997,100,100,0,0.0
C06999,100,100,0,0.0
C07001,100,100,0,0.0
C07004,100,100,0,0.0
C07005,100,100,0,0.0
C07006,100,100,0,0.0
C07010,100,100,0,0.0
C07014,100,100,0,0.0
C07016,100,100,0,0.0
C07022,100,100,0,0.0
C07023,100,100,0,0.0
C07024,100,52,-48,0.48
C07027,100,99,-1,0.01
C07034,100,100,0,0.0
C07035,100,100,0,0.0
C07036,100,100,0,0.0
C07037,100,100,0,0.0
C07040,100,100,0,0.0
C07041,100,100,0,0.0
C07042,100,100,0,0.0
C07043,100,100,0,0.0
C07044,100,102,2,0.02
C07045,100,100,0,0.0
C07047,100,6,-94,0.94
C07049,100,100,0,0.0
C07051,100,100,0,0.0
C07052,100,100,0,0.0
C07053,100,100,0,0.0
C07054,100,7,-93,0.93
C07055,100,100,0,0.0
C07056,100,100,0,0.0
C07062,100,100,0,0.0
C07063,100,100,0,0.0
C07064,100,100,0,0.0
C07065,100,100,0,0.0
C07069,100,100,0,0.0
C07070,100,100,0,0.0
C07072,100,100,0,0.0
C07073,100,31,-69,0.69
C07074,100,100,0,0.0
C07075,100,55,-45,0.45
C07078,100,100,0,0.0
C07079,100,100,0,0.0
C07080,100,100,0,0.0
C07083,100,197,97,0.97
C07084,100,89,-11,0.11
C07086,100,40,-60,0.6
C07087,100,87,-13,0.13
C07088,100,117,17,0.17
C07090,100,128,28,0.28
C07091,100,125,25,0.25
C07092,100,98,-2,0.02
C07093,100,90,-10,0.1
C07094,100,110,10,0.1
C07095,100,150,50,0.5
C07096,100,99,-1,0.01
C07097,100,130,30,0.3
C07098,100,100,0,0.0
C07099,100,104,4,0.04
C07100,100,100,0,0.0
C07101,100,100,0,0.0
C07103,100,101,1,0.01
C07104,100,100,0,0.0
C07105,100,100,0,0.0
C07106,100,100,0,0.0
C07107,100,100,0,0.0
C07108,100,45,-55,0.55
C07111,100,26,-74,0.74
C07112,100,120,20,0.2
C07113,100,104,4,0.04
C07114,100,97,-3,0.03
C07115,100,100,0,0.0
C07116,100,100,0,0.0
C07117,100,100,0,0.0
C07118,100,62,-38,0.38
C07119,100,100,0,0.0
C07120,100,100,0,0.0
C07123,100,83,-17,0.17
C07124,100,100,0,0.0
C07125,100,100,0,0.0
C07126,100,100,0,0.0
C07127,100,100,0,0.0
C07128,100,100,0,0.0
C07129,100,100,0,0.0
C07130,100,99,-1,0.01
C07132,100,100,0,0.0
C07139,100,100,0,0.0
C07140,100,100,0,0.0
C07141,100,100,0,0.0
C07142,100,100,0,0.0
C07143,100,100,0,0.0
C07144,100,100,0,0.0
C07146,100,100,0,0.0
C07147,100,100,0,0.0
C07148,100,100,0,0.0
C07149,100,100,0,0.0
C07151,100,100,0,0.0
C07153,100,100,0,0.0
C07155,100,100,0,0.0
C07156,100,100,0,0.0
C07159,100,100,0,0.0
C07160,100,100,0,0.0
C07163,100,57,-43,0.43
C07164,100,100,0,0.0
C07165,100,100,0,0.0
C07166,100,100,0,0.0
C07168,100,100,0,0.0
C07171,100,100,0,0.0
C07172,100,100,0,0.0
C07174,100,100,0,0.0
C07175,100,100,0,0.0
C07177,100,100,0,0.0
C07178,100,100,0,0.0
C07180,100,100,0,0.0
C07182,100,100,0,0.0
C07184,100,100,0,0.0
C07185,100,0,-100,1.0
C07187,100,100,0,0.0
C07188,100,100,0,0.0
C07189,100,100,0,0.0
C07192,100,100,0,0.0
C07194,100,100,0,0.0
C07195,100,100,0,0.0
C07196,100,100,0,0.0
C07198,100,100,0,0.0
C07199,100,100,0,0.0
C07201,100,96,-4,0.04
C07202,100,100,0,0.0
C07204,100,140,40,0.4
C07205,100,100,0,0.0
C07206,100,100,0,0.0
C07207,100,100,0,0.0
C07208,100,100,0,0.0
C07209,100,107,7,0.07
C07210,100,100,0,0.0
C07211,100,105,5,0.05
C07212,100,100,0,0.0
C07214,100,96,-4,0.04
C07215,100,108,8,0.08
C07216,100,88,-12,0.12
C07218,100,100,0,0.0
C07219,100,100,0,0.0
C07220,100,100,0,0.0
C07221,100,100,0,0.0
C07222,100,100,0,0.0
C07224,100,100,0,0.0
C07225,100,100,0,0.0
C07228,100,100,0,0.0
C07230,100,100,0,0.0
C07231,100,100,0,0.0
C07235,100,100,0,0.0
C07239,100,100,0,0.0
C07240,100,100,0,0.0
C07241,100,100,0,0.0
C07245,100,100,0,0.0
C07246,100,100,0,0.0
C07247,100,100,0,0.0
C07250,100,100,0,0.0
C07251,100,100,0,0.0
C07252,100,100,0,0.0
C07253,100,100,0,0.0
C07254,100,100,0,0.0
C07255,100,100,0,0.0
C07256,100,100,0,0.0
C07257,100,100,0,0.0
C07258,100,100,0,0.0
C07259,100,100,0,0.0
C07261,100,100,0,0.0
C07263,100,100,0,0.0
C07264,100,100,0,0.0
C07266,100,100,0,0.0
C07267,100,100,0,0.0
C07268,100,100,0,0.0
C07269,100,100,0,0.0
C07270,100,100,0,0.0
C07271,100,84,-16,0.16
C07272,100,86,-14,0.14
C07273,100,100,0,0.0
C07274,100,100,0,0.0
C07275,100,100,0,0.0
C07276,100,112,12,0.12
C18020,100,91,-9,0.09
C07277,100,39,-61,0.61
C07278,100,112,12,0.12
C07279,100,100,0,0.0
C07280,100,100,0,0.0
C07283,100,100,0,0.0
C07285,100,100,0,0.0
C07287,100,108,8,0.08
C07288,100,92,-8,0.08
C07289,100,101,1,0.01
C07290,100,99,-1,0.01
C07294,100,87,-13,0.13
C07295,100,113,13,0.13
C07296,100,51,-49,0.49
C07297,100,149,49,0.49
C07299,100,87,-13,0.13
C07301,100,90,-10,0.1
C07302,100,100,0,0.0
C07303,100,45,-55,0.55
C07304,100,63,-37,0.37
C07306,100,100,0,0.0
C07307,100,66,-34,0.34
C07308,100,101,1,0.01
C07309,100,100,0,0.0
C07310,100,100,0,0.0
C07311,100,100,0,0.0
C07312,100,100,0,0.0
C07313,100,100,0,0.0
C07314,100,100,0,0.0
C07315,100,100,0,0.0
C07316,100,100,0,0.0
C07317,100,100,0,0.0
C07318,100,100,0,0.0
C07319,100,100,0,0.0
C07320,100,100,0,0.0
C07321,100,100,0,0.0
C07322,100,100,0,0.0
C07323,100,100,0,0.0
C07324,100,100,0,0.0
C07325,100,100,0,0.0
C07326,100,92,-8,0.08
C07327,100,100,0,0.0
C07328,100,96,-4,0.04
C07329,100,122,22,0.22
C07330,100,103,3,0.03
C07331,100,114,14,0.14
C07332,100,100,0,0.0
C07334,100,100,0,0.0
C07335,100,53,-47,0.47
C07336,100,100,0,0.0
C07338,100,100,0,0.0
C07339,100,100,0,0.0
C07340,100,100,0,0.0
C07341,100,100,0,0.0
C07342,100,100,0,0.0
C07343,100,100,0,0.0
C07344,100,101,1,0.01
C07345,100,100,0,0.0
C07347,100,99,-1,0.01
C07348,100,101,1,0.01
C07349,100,138,38,0.38
C07350,100,100,0,0.0
C07351,100,100,0,0.0
C07354,100,136,36,0.36
C07355,100,100,0,0.0
C07356,100,100,0,0.0
C07357,100,100,0,0.0
C07359,100,100,0,0.0
C07360,100,100,0,0.0
C07361,100,100,0,0.0
C07362,100,100,0,0.0
C07363,100,100,0,0.0
C07366,100,100,0,0.0
C07368,100,100,0,0.0
C07369,100,100,0,0.0
C07370,100,100,0,0.0
C07371,100,100,0,0.0
C07372,100,100,0,0.0
C07373,100,100,0,0.0
C07375,100,100,0,0.0
C07376,100,100,0,0.0
C07378,100,100,0,0.0
C07379,100,100,0,0.0
C07381,100,100,0,0.0
C07383,100,100,0,0.0
C07384,100,100,0,0.0
C07389,100,100,0,0.0
C07391,100,100,0,0.0
C07393,100,100,0,0.0
C07394,100,173,73,0.73
C07395,100,100,0,0.0
C07397,100,100,0,0.0
C07398,100,100,0,0.0
C07400,100,100,0,0.0
C07401,100,100,0,0.0
C07402,100,100,0,0.0
C07403,100,100,0,0.0
C07404,100,100,0,0.0
C07405,100,100,0,0.0
C07406,100,100,0,0.0
C07407,100,100,0,0.0
C07408,100,100,0,0.0
C07409,100,100,0,0.0
C07410,100,100,0,0.0
C07411,100,100,0,0.0
C07412,100,100,0,0.0
C07413,100,100,0,0.0
C07414,100,100,0,0.0
C07415,100,100,0,0.0
C07416,100,100,0,0.0
C07417,100,100,0,0.0
C07418,100,100,0,0.0
C07420,100,100,0,0.0
C07421,100,100,0,0.0
C07422,100,100,0,0.0
C07423,100,100,0,0.0
C07424,100,100,0,0.0
C07425,100,100,0,0.0
C07427,100,100,0,0.0
C07428,100,100,0,0.0
C07429,100,100,0,0.0
C07430,100,100,0,0.0
C07431,100,100,0,0.0
C07432,100,100,0,0.0
C07434,100,100,0,0.0
C07435,100,100,0,0.0
C07436,100,100,0,0.0
C07437,100,100,0,0.0
C07438,100,100,0,0.0
C07440,100,100,0,0.0
C07441,100,100,0,0.0
C07443,100,100,0,0.0
C07445,100,100,0,0.0
C07446,100,94,-6,0.06
C07447,100,105,5,0.05
C07448,100,100,0,0.0
C07449,100,100,0,0.0
C07450,100,100,0,0.0
C07451,100,100,0,0.0
C07452,100,100,0,0.0
C07453,100,100,0,0.0
C07455,100,100,0,0.0
C07456,100,100,0,0.0
C07457,100,100,0,0.0
C07458,100,100,0,0.0
C07459,100,100,0,0.0
C07460,100,100,0,0.0
C07461,100,100,0,0.0
C07463,100,100,0,0.0
C07464,100,100,0,0.0
C07465,100,100,0,0.0
C07466,100,100,0,0.0
C07467,100,100,0,0.0
C07468,100,100,0,0.0
C07469,100,100,0,0.0
C07471,100,100,0,0.0
C07473,100,100,0,0.0
C07474,100,116,16,0.16
C07475,100,142,42,0.42
C07478,100,66,-34,0.34
C07479,100,88,-12,0.12
C07480,100,103,3,0.03
C07481,100,81,-19,0.19
C07482,100,100,0,0.0
C07484,100,100,0,0.0
C07485,100,100,0,0.0
C07486,100,100,0,0.0
C07487,100,100,0,0.0
C07488,100,100,0,0.0
C07489,100,100,0,0.0
C07490,100,79,-21,0.21
C07491,100,100,0,0.0
C07492,100,51,-49,0.49
C07493,100,114,14,0.14
C07494,100,100,0,0.0
C07495,100,152,52,0.52
C07496,100,83,-17,0.17
C07497,100,100,0,0.0
C07499,100,100,0,0.0
C07500,100,100,0,0.0
C07501,100,78,-22,0.22
C07502,100,100,0,0.0
C07503,100,100,0,0.0
C07504,100,100,0,0.0
C07505,100,100,0,0.0
C07506,100,100,0,0.0
C07508,100,100,0,0.0
C07509,100,100,0,0.0
C07510,100,100,0,0.0
C07511,100,100,0,0.0
C07512,100,100,0,0.0
C07513,100,100,0,0.0
C07514,100,100,0,0.0
C07515,100,100,0,0.0
C07516,100,100,0,0.0
C07517,100,100,0,0.0
C07518,100,100,0,0.0
C07519,100,100,0,0.0
C07520,100,100,0,0.0
C07521,100,100,0,0.0
C07522,100,100,0,0.0
C07523,100,100,0,0.0
C07524,100,100,0,0.0
C07525,100,100,0,0.0
C07526,100,100,0,0.0
C07527,100,100,0,0.0
C07528,100,100,0,0.0
C07529,100,100,0,0.0
C07530,100,100,0,0.0
C07531,100,100,0,0.0
C07532,100,100,0,0.0
C07533,100,100,0,0.0
C07534,100,100,0,0.0
C07535,100,100,0,0.0
C07536,100,100,0,0.0
C07537,100,100,0,0.0
C07538,100,100,0,0.0
C07539,100,100,0,0.0
C07540,100,100,0,0.0
C07541,100,100,0,0.0
C07542,100,100,0,0.0
C07543,100,100,0,0.0
C07544,100,100,0,0.0
C07545,100,100,0,0.0
C07546,100,100,0,0.0
C07547,100,126,26,0.26
C07548,100,100,0,0.0
C07549,100,100,0,0.0
C07550,100,100,0,0.0
C07551,100,100,0,0.0
C07552,100,100,0,0.0
C07553,100,100,0,0.0
C07554,100,100,0,0.0
C07555,100,100,0,0.0
C07556,100,100,0,0.0
C07557,100,100,0,0.0
C07558,100,100,0,0.0
C07559,100,100,0,0.0
C07561,100,100,0,0.0
C07564,100,100,0,0.0
C07565,100,115,15,0.15
C07566,100,100,0,0.0
C07567,100,100,0,0.0
C07568,100,100,0,0.0
C07569,100,100,0,0.0
C07570,100,100,0,0.0
C07571,100,100,0,0.0
C07572,100,11,-89,0.89
C07573,100,100,0,0.0
C07574,100,100,0,0.0
C07575,100,100,0,0.0
C07576,100,40,-60,0.6
C07577,100,100,0,0.0
C07578,100,152,52,0.52
C07580,100,100,0,0.0
C07581,100,100,0,0.0
C07582,100,100,0,0.0
C07584,100,100,0,0.0
C07585,100,91,-9,0.09
C07586,100,100,0,0.0
C07587,100,100,0,0.0
C07588,100,100,0,0.0
C07589,100,100,0,0.0
C07590,100,100,0,0.0
C07591,100,100,0,0.0
C07592,100,110,10,0.1
C07593,100,144,44,0.44
C07594,100,100,0,0.0
C07596,100,100,0,0.0
C07597,100,100,0,0.0
C07598,100,100,0,0.0
C07599,100,100,0,0.0
C07600,100,100,0,0.0
C07601,100,116,16,0.16
C07602,100,100,0,0.0
C07603,100,100,0,0.0
C07604,100,100,0,0.0
C07605,100,100,0,0.0
C07606,100,100,0,0.0
C07607,100,100,0,0.0
C07608,100,100,0,0.0
C07609,100,100,0,0.0
C07610,100,100,0,0.0
C07612,100,100,0,0.0
C07613,100,100,0,0.0
C07615,100,100,0,0.0
C07616,100,100,0,0.0
C07617,100,100,0,0.0
C07618,100,100,0,0.0
C07619,100,100,0,0.0
C07620,100,100,0,0.0
C07621,100,100,0,0.0
C07622,100,100,0,0.0
C07624,100,100,0,0.0
C07625,100,100,0,0.0
C07626,100,100,0,0.0
C07627,100,100,0,0.0
C07628,100,100,0,0.0
C07629,100,100,0,0.0
C07630,100,100,0,0.0
C07631,100,100,0,0.0
C07632,100,100,0,0.0
C07633,100,100,0,0.0
C07634,100,100,0,0.0
C07635,100,89,-11,0.11
C07636,100,100,0,0.0
C07637,100,100,0,0.0
C07638,100,100,0,0.0
C07639,100,80,-20,0.2
C07640,100,100,0,0.0
C07641,100,100,0,0.0
C07642,100,100,0,0.0
C07643,100,24,-76,0.76
C07644,100,136,36,0.36
C07645,100,28,-72,0.72
C07646,100,81,-19,0.19
C07647,100,142,42,0.42
C07648,100,43,-57,0.57
C07649,100,1,-99,0.99
C07650,100,100,0,0.0
C07651,100,100,0,0.0
C07652,100,100,0,0.0
C07653,100,100,0,0.0
C07654,100,100,0,0.0
C07655,100,100,0,0.0
C07656,100,100,0,0.0
C07657,100,100,0,0.0
C07658,100,100,0,0.0
C07659,100,100,0,0.0
C07660,100,100,0,0.0
C07661,100,100,0,0.0
C07662,100,100,0,0.0
C07663,100,100,0,0.0
C07664,100,100,0,0.0
C07665,100,100,0,0.0
C07666,100,100,0,0.0
C07668,100,100,0,0.0
C07669,100,100,0,0.0
C07670,100,100,0,0.0
C07671,100,100,0,0.0
C07672,100,100,0,0.0
C07673,100,100,0,0.0
C07674,100,100,0,0.0
C07675,100,100,0,0.0
C07677,100,100,0,0.0
C07693,100,100,0,0.0
C07695,100,100,0,0.0
C07699,100,100,0,0.0
C07701,100,100,0,0.0
C07704,100,100,0,0.0
C07706,100,100,0,0.0
C07707,100,100,0,0.0
C07708,100,100,0,0.0
C07709,100,100,0,0.0
C07710,100,100,0,0.0
C07711,100,100,0,0.0
C07712,100,100,0,0.0
C07713,100,100,0,0.0
C07715,100,99,-1,0.01
C07717,100,149,49,0.49
C07718,100,86,-14,0.14
C07719,100,192,92,0.92
C07721,100,51,-49,0.49
C07724,100,101,1,0.01
C07725,100,85,-15,0.15
C07726,100,99,-1,0.01
C07727,100,114,14,0.14
C07729,100,100,0,0.0
C07731,100,77,-23,0.23
C07732,100,100,0,0.0
C07733,100,100,0,0.0
C07734,100,80,-20,0.2
C07736,100,100,0,0.0
C07740,100,100,0,0.0
C07743,100,100,0,0.0
C07750,100,100,0,0.0
C07751,100,100,0,0.0
C07752,100,100,0,0.0
C07753,100,100,0,0.0
C07755,100,100,0,0.0
C07756,100,114,14,0.14
C07758,100,100,0,0.0
C07759,100,100,0,0.0
C07760,100,100,0,0.0
C07761,100,100,0,0.0
C07763,100,100,0,0.0
C07764,100,100,0,0.0
C07765,100,100,0,0.0
C07766,100,100,0,0.0
C07767,100,100,0,0.0
C07768,100,100,0,0.0
C07770,100,100,0,0.0
C14001,100,100,0,0.0
C07771,100,100,0,0.0
C07773,100,100,0,0.0
C07774,100,100,0,0.0
C07777,100,100,0,0.0
C07778,100,100,0,0.0
C07780,100,100,0,0.0
C07783,100,100,0,0.0
C07785,100,100,0,0.0
C07789,100,100,0,0.0
C07790,100,100,0,0.0
C07792,100,100,0,0.0
C07798,100,100,0,0.0
C07805,100,100,0,0.0
C07807,100,100,0,0.0
C07809,100,100,0,0.0
C07811,100,100,0,0.0
C07813,100,100,0,0.0
C07814,100,100,0,0.0
C07815,100,100,0,0.0
C07816,100,100,0,0.0
C07818,100,100,0,0.0
C07819,100,100,0,0.0
C07825,100,100,0,0.0
C07826,100,100,0,0.0
C07827,100,100,0,0.0
C07829,100,100,0,0.0
C07832,100,100,0,0.0
C07833,100,100,0,0.0
C07834,100,100,0,0.0
C07836,100,135,35,0.35
C07837,100,100,0,0.0
C07838,100,121,21,0.21
C07839,100,100,0,0.0
C07840,100,100,0,0.0
C07841,100,100,0,0.0
C07844,100,100,0,0.0
C07846,100,100,0,0.0
C07849,100,100,0,0.0
C07851,100,100,0,0.0
C07852,100,100,0,0.0
C07853,100,100,0,0.0
C07861,100,100,0,0.0
C07862,100,100,0,0.0
C07864,100,100,0,0.0
C07865,100,100,0,0.0
C07866,100,100,0,0.0
C07868,100,100,0,0.0
C07870,100,100,0,0.0
C07871,100,100,0,0.0
C07872,100,100,0,0.0
C07874,100,100,0,0.0
